"","V1","Mean1","Mean2","Mean3","Mean4","Mean5","Mean6","Mean7","Mean8","Mean9","Mean10","Mean11","Mean12","Mean13","Mean14","Mean15","Mean16","Mean17","Mean18","Mean19","Mean20","Mean21","Mean22","Mean23","Mean24","Mean25","Mean26","Mean27","Mean28","Mean29","Mean30","Mean31","Mean32","Mean33","Mean34","Mean35","Mean36","Mean37","Mean38","Mean39","Mean40","Mean41","Mean42","Mean43","Mean44","Mean45","Mean46","Mean47","Mean48","Mean49","Mean50","Mean51","Mean52","Mean53","Mean54"
"15584",2810,406.058,371.179,351.758,372.098,364.049,358.672,324.758,302.808,346,387.408,386.832,396.231,366.406,418.468,403.685,365.22,354,313.988,337.821,379.505,330.952,378.872,415.405,383.836,312.972,299.616,290.962,464.102,405.56,493.047,379.518,390.614,396.513,382.234,362.928,394.769,399.696,415.763,370.876,315.885,353.09,345.263,347.314,307.215,334.955,341.482,331.281,338.034,360.629,275.929,256.237,377.973,404.339,387.771
"15585",2811,408.046,374.899,350.781,367.892,360.009,358.574,327.947,290.107,350.134,388.533,386.483,393.577,371.004,411.1,400.444,366.855,347.543,307.518,327.522,377.337,330.838,381.434,414.645,387.116,309.847,310.431,292.583,472.968,402.781,502.555,384.268,388.14,396.071,375.307,361,396.067,404.797,417.268,364.657,312.669,349.536,344.474,342.415,304.751,331.938,347.398,321.513,339.531,357.975,276.5,254.012,373.538,406.203,378.5
"15586",2812,406.025,375.271,350.996,368.94,350.258,356.957,327.737,300.762,349.324,393.855,383.63,385.226,369.891,410.484,394.472,363.502,355.628,317.62,332.729,381.81,331.728,377.494,414.111,381.5,310.571,303.671,293.985,468.274,405.589,496.178,382.427,397.749,400.492,383.177,358.691,391.412,396.783,418.623,356.35,312,354.102,347.91,353.487,299.633,328.335,348.392,324.504,328.382,353.258,271.271,251.392,377.138,405.861,384.078
"15587",2813,399.967,373.372,351.43,377.479,346.773,354.688,325.921,297.248,358.492,391.753,386.21,391.274,369.747,413.079,390.944,358.502,349.213,311.367,327.72,379.634,336.149,380.562,412.88,388.548,311.412,307.69,295.053,466.661,407.132,498.106,377.835,384.357,397.655,386.432,354.297,395.114,402.275,410.557,369.526,306.52,351.078,349.936,335.335,301.017,326.415,342.392,324.925,329.841,362.571,272.6,249.679,374.92,396.108,380.193
"15588",2814,404.1,376.058,347.789,370.803,354.049,350.844,320.584,296.056,353.269,389.447,387.324,393.562,374.105,407.826,392.616,364.263,342.195,318.271,331.251,383.641,323.316,378.737,410.63,383.884,307.797,299.06,296.239,455.21,402.192,494.178,375.659,389.121,396.109,380.286,357.275,398.78,394.633,424.544,366.73,306.311,345.886,339.519,347.39,302.446,332.858,343.084,328.333,332.589,358.196,272.6,248.175,378.107,401.079,380.109
"15589",2815,399.979,370.647,349.082,369.01,360.667,359.215,329.858,296.182,353.79,389.612,384.181,396.154,373.376,408.374,396.741,365.329,343.585,313.663,328.343,379.619,331.855,379.509,413.167,387.144,306.418,301.912,294.261,463.022,406.937,495.597,376.683,387.266,394.63,383.844,359.364,391.804,400.686,414.895,360.533,305.946,343.446,345.263,345.792,304.621,326.648,350.572,321.592,332.324,358.971,273.738,249.492,372.573,405.073,391.495
"15590",2816,400.046,373.623,346.523,371.67,351.236,357.184,325.468,303.262,345.836,388.451,386.336,388.048,369.603,404.226,393.403,362.298,344.823,310.861,332.072,385.897,327.671,379.366,413.622,387.74,307.407,300.079,292.492,452.677,396.815,493.186,374.146,375.382,396.265,373.849,351.911,398.039,396.681,417.211,364.431,308.764,352.422,341.513,346.763,304.407,328.284,345.349,325.167,326.657,361.7,272.471,246.867,376.2,401.285,384.5
"15591",2817,401.054,372.072,354.211,374.298,353.733,354.562,320.158,300.72,350.092,393.729,383.849,378.644,372.183,411.479,394.963,354.769,339.884,314.398,324.121,374.927,332.167,370.569,407.226,382.61,302.48,299.894,290.201,456.683,405.619,496.869,379.988,380.623,399.307,385.078,363.699,391.016,394.217,411.776,368.861,305.432,353.187,342.353,334.674,303.757,339.034,340.169,328.478,334.464,357.946,270.271,247.092,375.356,402.566,377.141
"15592",2818,404.575,375.884,352.281,377.152,352.818,349.43,324.158,296.523,347.395,387.678,377.004,389.846,368.655,415.758,391.727,351.357,341.646,308.175,328.213,380.538,336.627,377.163,412.592,381.589,308.424,300.569,295.061,462.796,410.338,496.958,375.799,383.217,394.811,383.385,358.653,389.118,397.826,425.368,370.584,307.493,348.789,340.667,346.644,302.226,336.523,342.12,320.658,339.585,362.642,275.781,244.992,371.551,402.247,383.125
"15593",2819,397.237,373.362,348.461,377.927,348.796,353.449,330.974,296.818,353.399,391.573,380.176,391.846,366.882,408.184,398.412,366.212,348.165,313.928,333.478,381.513,331.004,377.888,416.161,377.253,310.695,304.602,295.303,459.602,398.626,489.716,382.22,387.913,393.109,371.724,355.864,391.502,392.86,415.846,357.65,314.588,348.295,344.865,342.992,306.78,331.057,346.018,321.268,329.531,365.229,277.11,249.346,387.467,404.661,376.125
"15594",2820,397.817,371.435,345.75,372.854,351.711,347.512,327.037,298.294,349.916,384.733,385.534,383.745,368.065,413.2,393.102,362.063,340.524,307.048,326.531,378.048,334.25,375.131,409.894,377.863,300.565,304.898,298.981,461.855,403.447,494.492,378.049,380.575,392.126,377.312,355.106,393.224,399.729,417.373,353.328,312.034,345.62,347.423,345.017,301.198,332.773,345.325,317.404,327.435,359.158,278.095,250.892,377.52,400.478,383.401
"15595",2821,395.008,374.42,345.633,370.216,352.542,360.492,321.221,290.939,347.16,387.435,384.588,389.87,369.14,411.189,393.639,360.808,342.902,308.096,321.014,383.758,333.096,381.306,406.856,379.226,306.644,299.546,298.019,460.548,398.526,495.076,374.646,393.667,399.63,378.292,352.089,392.514,393.01,413.654,367.745,313.595,347.03,346.936,338.958,305.429,329.705,336.5,325.004,331.705,358.379,272.729,251.762,375.036,404.209,374.354
"15596",2822,398.658,365.894,351.77,372.051,351.449,347.812,329.847,298.009,356.017,387.376,387.756,394.62,368.9,401.737,388.898,359.824,343.116,311.217,330.783,376.099,325.539,382.672,410.37,380.336,297.316,303.481,292.962,459.887,409.904,490.903,373.768,383.908,399.109,373.74,352.275,394.765,396.111,415.14,367.051,318.101,342.416,339.071,341.305,298.48,338.96,341.145,317.974,326.237,360.9,272.557,249.154,379.898,402.028,377.719
"15597",2823,402.617,372.232,352.184,365.702,353.391,359.328,324.842,304.421,347.971,390.141,388.706,388.308,370.463,400.8,394.023,353.804,343.079,309.886,327.135,378.56,334.404,373.644,406.877,378.027,302.446,304.542,300.098,460.532,402.281,503.517,372.909,385.763,394.605,375.125,356.131,392.078,397.121,419.294,365.854,306.291,341.078,335.385,341.924,301.379,330.841,352.367,317.82,335.097,355.717,277.467,253.046,376.653,402.867,379.76
"15598",2824,392.171,366.488,346.762,369.216,348.404,355.25,323.163,296.612,345.517,389.671,383.05,388.457,373.38,407.284,393.727,357.09,348.701,310.964,321.754,381.447,326.816,373.003,409.188,384.527,307.74,298.463,294.788,453.527,409.94,489.068,376.811,385.406,394.017,374.276,359.419,392.6,391.923,416.618,362.088,304.108,351.181,341.064,339.725,304.593,329.233,342.41,324.075,334.449,359.862,270.705,253.171,376.418,398.082,382.443
"15599",2825,400.771,364.57,348.375,369.359,345.436,353.684,321.995,295.762,351.021,388.843,382.908,389.933,371.231,407.721,393.926,362.122,354.195,310.645,327.266,372.275,331.702,375.712,412.296,381.76,302.458,301.204,293.292,458.091,405.099,482.983,376.884,390.29,393.168,382.531,359.839,389.071,396.923,413.855,365.971,308.804,353.187,350.417,341.665,295.599,333.46,337.663,321.987,327.908,361.354,275.681,248.467,374.404,403.044,382.427
"15600",2826,400.788,370.087,346.84,368.702,349.849,351.707,325.305,296.888,347.546,387.667,382.845,391.389,362.424,412.3,383.454,357.051,347.25,306.211,322.86,376.267,332.333,374.728,415.135,375.068,303.181,302.185,295.439,454.634,407.811,490.424,377.055,384.802,389.655,374.677,352.962,390.251,402.58,419.276,361.861,308.811,354.47,348.506,343.945,299.418,325.523,351.789,328.289,330.792,359.929,279.805,250.55,374.64,405.984,374.099
"15601",2827,394.763,370.957,346.523,374.248,351.716,345.797,321.111,298.402,346.227,384.118,381.504,383.385,369.17,408.247,394.523,357.91,342.128,314.108,323.778,377.088,331.969,372.478,405.666,385.226,306.463,301.954,291.545,463.554,399.444,493.809,377.805,386.812,394.017,377.469,355.547,393.243,407.527,407.114,366.934,306.243,350.614,345.731,343.572,302.051,327.159,350.789,318.732,335.242,361.342,273.848,247.229,379.973,403.364,385.849
"15602",2828,398.183,369.077,347.156,370.33,349.782,350.594,323.142,292.005,343.765,380.753,383.168,384.933,370.607,401.579,389.685,354.42,347.152,298.855,323.459,371.769,332.781,370.456,407.83,375.356,299.215,308.718,295.144,460.704,402.507,481.458,376.799,384.633,393.966,385.516,350.127,383.439,393.923,411.39,359.547,306.953,344.036,342.936,336.123,305.825,324.886,344.054,322.175,331.111,357.792,271.51,251.825,372.484,401.057,382.234
"15603",2829,393.783,356.213,349.465,370.352,354.996,349.977,325.453,302.561,348.555,385.898,382.315,386.188,367.017,401.279,386.199,353.475,345.872,303.349,323.58,375.85,330.614,368.303,409.038,387.74,303.497,299.046,291.652,460.812,397.659,488.551,382.012,380.971,393.605,378.01,356.775,388.29,395.469,421.32,358.854,305.439,351.367,344.442,341.636,303.119,326.938,341.126,324.925,331.42,362.217,270.781,252.742,379.413,402.674,375.922
"15604",2830,396.275,369.841,350.309,365.863,345.64,345.586,322.605,301.318,351.181,391.569,388.723,394.928,374.747,403.674,399.583,353.882,353.177,302.548,316.01,375.938,325.491,374.181,405.718,386.041,305.418,299.162,295.25,458.763,402.086,487.623,378.372,379.179,396.109,380.396,356.093,393.282,392,415.237,354.869,298.378,343.193,344.635,334.492,303,332.267,345.488,321.268,332.918,359.479,265.157,252.567,377.627,403.576,378.068
"15605",2831,393.433,377.493,351.238,372.381,347.938,355.965,325.963,295.322,342.58,381.043,382.004,384.486,364.773,409.511,390.324,354.416,350.024,306.608,324.014,379.527,334.61,370.913,412.977,373.274,307.181,300.306,296.068,464.462,409.354,492.97,373.47,383.295,392.055,372.604,358.953,388.776,399.865,419.816,354.679,302.142,341.861,345.288,336.297,300.718,329.812,338.349,316.982,334.527,360.658,273.39,248.633,371.124,406.744,385.224
"15606",2832,400.679,365.623,346.996,372.848,347.813,347.844,316.842,294.911,344.172,381.302,379.639,388.293,362.328,398.732,395.333,349.071,343.713,306.392,315.541,373.692,325.763,371.756,409.724,383.815,301.085,302.403,295.193,460.575,402.858,487.665,371.189,380.618,382.34,375.021,348.153,387.537,391.531,409.623,361.759,304.216,347.211,342.244,332.898,294.328,334.818,344.578,316.535,332.7,355.646,267.505,251.137,372.6,396.345,376.693
"15607",2833,394.904,365.831,347.781,374.778,347.844,350.793,320.268,297.425,349.37,388.078,379.303,386.625,375.638,402.363,389.634,358.451,338.915,307.657,321.053,378.853,326.145,367.647,402.437,381.096,300.887,301.616,289.424,457.075,408.586,492.589,374.341,382.271,396.723,375.182,353.737,385.439,393.618,419.961,366.015,308,350.626,350.66,336.86,299.531,335.977,336.03,325.048,332.386,363.379,266.89,246.196,373.231,402.554,381.677
"15608",2834,388.929,370.807,350.043,364.057,349.2,355.293,326.516,294.519,350.937,381.071,391.445,393.058,367.004,401.905,389.509,353.812,341.213,292.524,321.348,381.919,333.232,373.269,405.944,378.87,307.542,301.833,289.36,454.548,405.361,488.398,363.085,381.966,397.399,383.969,356.729,389.235,399.932,417.075,358.175,308.601,341.181,343.231,338.36,297.395,332.761,337.813,322.009,333.01,361.504,268.762,244.371,371.236,398.794,377.438
"15609",2835,397.258,368.435,341.508,368.829,349.533,346.781,314.311,296.369,346.492,380.157,385.134,390.173,372.432,407.979,384.657,360.333,346.738,304.175,325.87,378.374,324.781,374.009,407.279,370.952,306.972,304.083,289.614,463.086,403.742,484.818,368.604,386.367,394.971,373.005,353.585,386.051,403.502,417.996,366.599,301.047,353.217,343.788,334.644,300.311,335.773,341.56,321.539,328.657,357.967,274.448,253.6,374.818,400.399,376.573
"15610",2836,410.033,366.947,357.961,372.086,356.387,368.07,340.932,300.449,356.853,395.447,397.038,393.49,373.319,426.7,401.412,373.326,355.915,306.813,329.628,392.864,333.925,383.303,421.827,392.055,300.299,304.204,296.951,463.656,407.156,495.242,381.354,387.734,402.832,385.562,365.831,396.416,409.203,420.355,363.664,321.236,350.693,349.372,344.631,313.621,333.318,358.205,331.105,335.213,365.517,272.01,251.988,377.898,400.775,387.391
"15611",2837,414.692,384.604,378.77,384.99,395.702,392.797,379.153,312.294,365.937,415.125,414.576,427.962,391.201,461.311,434.417,402.816,366.652,329.042,344.271,414.817,348.171,417.094,451.34,404.781,321.04,316.931,301.682,495.532,421.901,508.691,387.64,410.787,420.017,409.417,392.093,424.388,440.435,436.399,365.409,355.507,359.416,366.397,365.339,326.893,333.773,359.301,331.548,335.821,369.15,282.181,262.167,387.516,420.953,411.214
"15612",2838,431.592,398.324,388.27,381.546,412.524,419.688,382.821,314.621,380.639,438.863,426.029,444.452,406.118,486.847,453.861,410.859,374.518,340.855,357.575,435.278,364.697,423.691,461.358,412.493,338.661,320.824,308.015,516.796,442.248,514.352,384.262,417.812,430.5,430.396,403.695,442.227,457.908,450.189,372.358,368.966,365.247,377.41,381.292,327.785,343.858,367.452,336.026,346.957,368.446,285.038,259.663,392.627,427.978,436.854
"15613",2839,438.25,410.469,394.461,380.873,430.844,408.465,374.884,326.065,380.895,442.78,435.714,450.183,415.441,512.921,464.856,422.922,376.585,344.669,368.232,442.436,371.513,422.544,466.795,425.384,353.695,328.935,319.939,525.608,445.586,518.661,394.86,421.623,435.374,431.391,410.852,441.082,456.411,454.575,375.139,374.939,364.253,386.231,381.326,314.938,335.574,373.169,331.654,344.237,375.65,293.176,257.096,396.667,425.348,430.479
"15614",2840,436.804,407.053,395.738,373.622,434.111,424.465,377.289,336.229,382.664,438.243,418.374,456.534,419.236,518.305,457.852,431.863,382.896,356.753,368.942,436.443,370.868,421.397,470.525,421.144,348.412,332.833,318.371,532.511,450.278,510.555,404.476,420.507,434.483,439.057,412.691,447.486,448.411,452.996,371.942,382.223,354.813,381.25,380.373,316.91,334.75,376.277,330.623,348.618,376.496,293.19,252.146,391.009,432.835,432.432
"15615",2841,425.521,412.014,386.445,376.092,421.982,413.754,368.289,327.206,376.05,449.796,412.807,459.606,419.092,523.574,453.102,424.906,374.262,354.066,365.396,431.67,368.561,419.525,469.897,432.171,355.667,339.667,321.008,533.995,445.503,505.301,399.366,417.319,436.458,431.172,408.61,445.765,450.367,452.772,367.657,377.804,361.861,386.032,383.004,319.525,338.659,370.964,331,353.647,369.608,292.333,259.692,389.867,434.69,437.021
"15616",2842,429.396,414.14,384.254,379.311,425.156,413.66,368.684,325.743,377.433,435.851,411.42,449.077,410.611,514.247,454.75,420.118,374.116,348.386,372.159,434.223,380.11,421.006,459.472,418.404,340.972,343.093,312.97,533.425,445.921,517.746,394.165,416.971,438.588,429.74,405.492,451.984,450.024,452.531,359.701,386.095,360.946,382.538,384.89,313.09,336.625,375.416,333.057,347.952,369.904,291.876,259.496,388.684,429.759,428.312
"15617",2843,438.042,414.575,392.832,375.946,420.218,406.238,359.358,322.729,384.462,430.424,421.525,435.37,403.738,513.984,446.324,414.271,371.884,353.036,362.155,427.652,381.342,416.178,457.988,416.089,353.475,334,313.231,537.586,434.331,510.403,397.36,412.643,440.244,429.854,406.174,442.835,439.488,443.145,368.81,371.608,351.422,383.346,383.61,308.226,334.358,374.663,334.048,346.662,370.15,289.333,252.408,378.596,421.737,427.479
"15618",2844,437.433,418.652,388.578,376.486,411.876,398.305,360.142,322.621,371.433,434.145,417.105,437.49,406.166,512.332,443.394,420.988,373.823,345.711,363.44,424.465,372.886,419.578,459.252,416.363,338.141,339.014,310.833,534.156,429.864,512.123,401,409.778,431.756,426.641,398.737,441.424,444.425,443.553,371.518,367.473,356.584,383.468,385.246,318.706,338.011,365.126,326.171,352.686,370.996,293.862,259.504,384.987,420.468,420.411
